ProjectID,Date,EmployeeID,StoryID,Hours
16478920,1/3/2022,125689,809,4.9
16478920,1/3/2022,127843,102,3.2
16478920,1/3/2022,123491,751,3.3
16478920,1/3/2022,125729,29,6.9
16478920,1/3/2022,127841,108,2.4
16478920,1/3/2022,126234,713,2.8
16478920,1/3/2022,164945,195,5.4
16478920,1/3/2022,134875,645,5.3
16478920,1/3/2022,147853,495,2.1
16478920,1/3/2022,141023,250,6.5
16478920,1/3/2022,245984,605,6.4
16478920,1/3/2022,345789,974,7.9
16478920,1/3/2022,476254,482,3.6
16478920,1/3/2022,741354,767,5.2
16478920,1/3/2022,632148,773,7.9
16478920,1/3/2022,258741,477,7
16478920,1/3/2022,963258,370,2.5
16478920,1/3/2022,789654,493,7
16478920,1/3/2022,654123,943,6.5
16478920,1/3/2022,123654,565,3.7
16478920,1/3/2022,456987,958,2.7
16478920,1/3/2022,547812,999,3.4
16478920,1/3/2022,982147,764,5.7
16478920,1/3/2022,854187,439,6.4
16478920,1/3/2022,683192,513,5.9
16478920,1/3/2022,885962,171,3.5
16478920,1/4/2022,125689,325,2.1
16478920,1/4/2022,127843,342,5.3
16478920,1/4/2022,123491,184,6.2
16478920,1/4/2022,125729,761,4.5
16478920,1/4/2022,127841,109,2
16478920,1/4/2022,126234,239,6.8
16478920,1/4/2022,164945,110,3
16478920,1/4/2022,134875,988,6.2
16478920,1/4/2022,147853,928,6.7
16478920,1/4/2022,141023,360,2.6
16478920,1/4/2022,245984,14,5.8
16478920,1/4/2022,345789,471,3.2
16478920,1/4/2022,476254,504,2.8
16478920,1/4/2022,741354,13,2.5
16478920,1/4/2022,632148,532,2.4
16478920,1/4/2022,258741,183,5
16478920,1/4/2022,963258,6,4.8
16478920,1/4/2022,789654,256,2.5
16478920,1/4/2022,654123,655,3
16478920,1/4/2022,123654,407,6.8
16478920,1/4/2022,456987,860,3.1
16478920,1/4/2022,547812,938,2.1
16478920,1/4/2022,982147,435,5.6
16478920,1/4/2022,854187,70,5.3
16478920,1/4/2022,683192,132,5.5
16478920,1/4/2022,885962,946,2.7
16478920,1/5/2022,125689,436,3.7
16478920,1/5/2022,127843,770,7.1
16478920,1/5/2022,123491,353,3.7
16478920,1/5/2022,125729,482,4.9
16478920,1/5/2022,127841,394,3.9
16478920,1/5/2022,126234,422,7.6
16478920,1/5/2022,164945,748,7.2
16478920,1/5/2022,134875,286,5.2
16478920,1/5/2022,147853,36,7.4
16478920,1/5/2022,141023,73,5.5
16478920,1/5/2022,245984,651,5.9
16478920,1/5/2022,345789,153,5.1
16478920,1/5/2022,476254,732,4.6
16478920,1/5/2022,741354,10,3.5
16478920,1/5/2022,632148,374,7.2
16478920,1/5/2022,258741,815,2.4
16478920,1/5/2022,963258,633,2.9
16478920,1/5/2022,789654,204,2.4
16478920,1/5/2022,654123,519,5.4
16478920,1/5/2022,123654,990,2.1
16478920,1/5/2022,456987,571,7.1
16478920,1/5/2022,547812,172,7.4
16478920,1/5/2022,982147,715,6.8
16478920,1/5/2022,854187,444,2.9
16478920,1/5/2022,683192,878,5.1
16478920,1/5/2022,885962,433,6.2
16478920,1/6/2022,125689,267,7.4
16478920,1/6/2022,127843,193,3.3
16478920,1/6/2022,123491,343,2.5
16478920,1/6/2022,125729,6,2.4
16478920,1/6/2022,127841,65,7.9
16478920,1/6/2022,126234,399,7.1
16478920,1/6/2022,164945,558,4.3
16478920,1/6/2022,134875,794,3.1
16478920,1/6/2022,147853,509,3.2
16478920,1/6/2022,141023,453,3.1
16478920,1/6/2022,245984,93,7.9
16478920,1/6/2022,345789,401,7.7
16478920,1/6/2022,476254,681,7.9
16478920,1/6/2022,741354,510,3
16478920,1/6/2022,632148,533,3.1
16478920,1/6/2022,258741,918,3.7
16478920,1/6/2022,963258,107,5
16478920,1/6/2022,789654,10,5.6
16478920,1/6/2022,654123,561,5.1
16478920,1/6/2022,123654,223,3.5
16478920,1/6/2022,456987,374,4.5
16478920,1/6/2022,547812,922,2.7
16478920,1/6/2022,982147,916,2.7
16478920,1/6/2022,854187,583,7.9
16478920,1/6/2022,683192,74,3.3
16478920,1/6/2022,885962,426,5.9
16478920,1/7/2022,125689,275,3.3
16478920,1/7/2022,127843,684,4.7
16478920,1/7/2022,123491,776,7.8
16478920,1/7/2022,125729,210,4.7
16478920,1/7/2022,127841,712,7.1
16478920,1/7/2022,126234,353,2.7
16478920,1/7/2022,164945,501,4.6
16478920,1/7/2022,134875,651,3.2
16478920,1/7/2022,147853,403,5.8
16478920,1/7/2022,141023,636,2.4
16478920,1/7/2022,245984,338,3.1
16478920,1/7/2022,345789,304,2.1
16478920,1/7/2022,476254,873,4.9
16478920,1/7/2022,741354,191,7
16478920,1/7/2022,632148,54,6.1
16478920,1/7/2022,258741,765,3.4
16478920,1/7/2022,963258,512,2.2
16478920,1/7/2022,789654,602,2.6
16478920,1/7/2022,654123,272,7.1
16478920,1/7/2022,123654,283,6.1
16478920,1/7/2022,456987,904,2.9
16478920,1/7/2022,547812,150,2.4
