"Year","Team","Runs","OppRuns","AtBat","Hits","Doubles","Triples","HomeRuns","RBI","SacHits","SacFlies","HitByPitch","Walks","Intentional","StrikeOuts","Stolen","Caught","GroundDP","CatchInter","LOB","NumPitchers","IndivER","TeamER","Wild","Balks","PutOut","Assists","Errors","PassBalls","DBPLays","TriPlays","OppAtBat","OppHits","OppDoubles","OppTriples","OppHomeRuns","OppRBI","OppSacHits","OppSacFlies","OppHitByPitch","OppWalks","OppIntentional","OppStrikeOuts","OppStolen","OppCaught","OppGroundDP","OppCatchInter","OppLOB","OppNumPitchers","OppIndivER","OppTeamER","OppWild","OppBalks","OppPutOut","OppAssists","OppErrors","OppPassBalls","OppDBPLays","OppTriPlays","Attendance","Wins","Losses"
"1900","BRO",816,722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,59
"1900","BSN",778,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,74
"1900","CHN",635,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,77
"1900","CIN",702,745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,79
"1900","NY1",713,823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,80
"1900","PHI",810,791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,65
"1900","PIT",733,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60
"1900","SLN",743,747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,75
"1901","BLA",760,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65
"1901","BOS",759,608,4873,1353,183,104,37,633,94,-138,48,334,-138,199,157,-138,-138,0,959,153,411,0,10,0,3649,1879,337,23,110,1,4672,1178,172,104,33,488,66,-138,41,299,-138,290,173,-138,-138,0,816,156,482,0,27,2,3621,1749,375,26,114,0,286974,81,57
"1901","BRO",744,600,4885,1400,206,93,32,634,72,-137,42,316,-137,428,178,-137,-137,0,954,163,424,0,25,0,3636,1661,281,31,96,1,4672,1244,139,58,18,510,108,-137,51,436,-137,534,213,-137,-137,0,1027,159,562,0,21,1,3614,1739,310,26,105,1,NA,81,56
"1901","BSN",531,556,4743,1180,135,36,28,449,141,-140,34,302,-140,448,158,-140,-140,0,911,153,407,0,26,1,3785,1750,282,16,97,0,4773,1196,181,54,29,466,99,-140,38,355,-140,464,140,-140,-140,0,923,157,362,0,28,0,3778,1861,308,27,102,0,144455,71,69
"1901","CHA",819,631,4723,1303,173,89,32,656,124,-137,63,482,-137,279,280,-137,-137,0,984,165,403,0,32,3,3653,1857,345,23,103,0,4761,1250,173,65,27,521,110,-137,52,315,-137,333,153,-137,-137,0,947,164,539,0,35,1,3588,1868,382,26,90,1,NA,83,54
"1901","CHN",578,699,4843,1250,153,61,18,480,70,-140,51,316,-140,486,204,-140,-140,0,932,149,461,0,30,1,3724,1812,336,30,86,1,4937,1348,194,81,27,570,109,-140,52,325,-140,547,187,-140,-140,0,1001,157,408,0,21,1,3767,1813,286,34,91,0,230710,53,87
"1901","CIN",561,818,4925,1232,173,70,38,476,105,-142,49,327,-142,508,137,-142,-142,0,1004,160,587,0,29,0,3791,1806,355,13,108,0,5075,1469,204,85,51,691,121,-142,64,368,-142,470,166,-142,-142,0,1023,158,418,0,27,1,3840,1803,282,25,86,1,202308,53,89
"1901","CLE",666,831,4831,1311,197,68,12,523,73,-138,50,246,-138,232,125,-138,-138,0,945,157,541,0,41,4,3544,1756,329,35,97,0,4718,1365,172,72,22,677,133,-138,70,463,-138,241,199,-138,-138,0,1002,154,432,0,31,0,3590,1808,348,27,113,1,NA,54,84
"1901","DET",741,694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254978,73,63
"1901","MLA",641,828,4799,1250,192,66,26,513,113,-139,49,320,-139,154,176,-139,-139,0,941,173,549,0,39,0,3650,1886,393,30,113,1,4888,1383,196,106,32,680,124,-139,63,400,-139,134,247,-139,-139,0,995,157,403,0,26,2,3697,1878,374,16,104,0,137175,49,90
"1901","NY1",544,755,4834,1224,167,46,19,458,72,-141,47,306,-141,522,133,-141,-141,0,947,165,530,0,41,3,3691,1885,348,48,82,1,4942,1389,198,59,24,631,98,-141,61,377,-141,458,208,-141,-141,0,1032,160,379,0,16,1,3766,1703,273,15,86,2,NA,52,89
"1901","PHA",805,760,4873,1409,239,87,35,665,83,-137,53,297,-137,252,173,-137,-137,0,913,151,534,0,37,0,3601,1904,337,23,104,0,4796,1346,239,81,20,628,80,-137,54,382,-137,260,187,-137,-137,0,952,163,530,0,30,1,3577,1797,393,23,113,0,197786,75,62
"1901","PHI",668,543,4783,1275,194,58,24,552,128,-140,62,429,-140,490,199,-140,-140,0,1049,156,397,0,21,2,3735,1759,262,37,66,0,4806,1220,153,57,19,462,89,-140,47,261,-140,417,175,-140,-140,0,922,162,453,0,31,2,3691,1777,341,26,103,0,NA,83,57
"1901","PIT",776,534,4927,1407,182,91,29,636,107,-140,54,387,-140,461,203,-140,-140,0,1026,161,357,0,17,2,3727,1748,287,23,100,1,4837,1199,165,65,20,430,76,-140,61,245,-140,482,126,-140,-140,0,955,158,540,0,47,3,3671,1761,321,33,89,0,248460,91,49
"1901","SLN",792,689,5046,1430,187,94,39,657,113,-142,91,315,-142,253,190,-142,-142,0,1002,171,519,0,33,1,3807,1912,305,29,108,1,4944,1333,163,90,39,582,108,-142,56,331,-142,224,187,-142,-142,0,942,167,560,0,31,1,3769,1876,335,41,81,1,385572,77,65
"1901","WS1",682,771,4771,1282,191,83,33,561,83,-138,64,361,-138,144,127,-138,-138,0,1003,158,538,0,13,0,3543,1797,322,15,103,0,4800,1396,202,103,51,650,85,-138,62,276,-138,100,170,-138,-138,0,907,164,463,0,18,0,3588,1834,338,20,118,0,173115,64,74
"1902","BLA",715,848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,89
"1902","BOS",664,600,4874,1356,195,95,42,572,106,-138,43,278,-138,314,132,-138,-138,0,962,154,416,0,18,1,3712,1877,263,24,103,0,4709,1217,207,83,27,496,87,-138,38,327,-138,358,132,-138,-138,0,851,155,490,0,28,1,3672,1759,288,22,94,0,NA,77,61
"1902","BRO",564,519,4835,1242,147,49,19,476,110,-141,64,323,-141,477,145,-141,-141,0,1013,151,376,0,26,0,3765,1720,275,20,85,0,4695,1113,134,51,10,416,117,-141,37,363,-141,505,216,-141,-141,0,925,159,392,0,16,2,3754,1811,297,8,96,0,NA,77,64
"1902","BSN",572,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,67
"1902","CHA",675,602,4651,1248,170,50,14,537,160,-138,41,405,-138,304,265,-138,-138,0,951,160,463,0,30,0,3659,1851,257,23,124,0,4683,1269,233,69,30,516,119,-138,49,332,-138,246,121,-138,-138,0,920,156,411,0,20,2,3639,1884,327,14,71,0,NA,74,64
"1902","CHN",544,505,4849,1224,133,40,6,426,148,-143,45,359,-143,522,229,-143,-143,0,965,152,316,0,25,1,3876,1946,330,21,114,0,4935,1245,151,51,7,413,138,-143,48,287,-143,416,159,-143,-143,0,1024,157,374,0,26,2,3891,1871,298,29,93,0,269810,73,70
"1902","CIN",633,566,4913,1383,188,77,18,531,96,-141,43,299,-141,411,131,-141,-141,0,1011,154,368,0,24,0,3712,1857,322,27,121,0,4724,1228,137,55,15,461,113,-141,55,351,-141,392,143,-141,-141,0,961,161,460,0,28,1,3701,1786,299,14,95,1,261100,71,70
"1902","CLE",686,667,4839,1401,248,68,33,582,119,-137,35,304,-137,244,140,-137,-137,0,1003,160,439,0,36,1,3610,1877,287,29,96,0,4647,1199,177,60,26,554,100,-137,43,414,-137,255,183,-137,-137,0,931,162,481,0,28,0,3615,1775,316,26,90,0,NA,70,67
"1902","DET",566,657,4647,1167,141,55,22,488,82,-137,51,361,-137,192,130,-137,-137,0,964,159,471,0,31,1,3571,1896,332,15,112,0,4666,1267,175,69,20,558,122,-137,39,373,-137,190,198,-137,-137,0,973,154,408,0,24,0,3616,1898,276,23,88,0,NA,54,83
"1902","NY1",405,604,4621,1098,147,34,6,335,104,-141,41,255,-141,541,187,-141,-141,0,837,162,395,0,34,2,3723,1836,338,27,107,2,4744,1217,144,46,16,459,122,-141,51,336,-141,505,173,-141,-141,0,922,149,299,0,23,0,3776,1918,241,21,102,1,360250,48,93
"1902","PHA",775,636,4759,1369,235,67,38,672,117,-137,39,355,-137,232,201,-137,-137,0,896,162,444,0,27,3,3646,1819,270,13,78,0,4682,1292,234,54,33,543,111,-137,63,374,-137,400,157,-137,-137,0,946,148,565,0,30,2,3597,1816,308,22,120,0,407469,84,53
"1902","PHI",484,649,4619,1139,110,43,5,389,123,-138,32,363,-138,435,108,-138,-138,0,975,159,471,0,29,3,3628,1764,305,16,83,0,4729,1323,162,58,12,547,131,-138,57,335,-138,441,214,-138,-138,0,971,158,316,0,23,0,3674,1858,286,8,109,1,116102,56,82
"1902","PIT",775,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251300,106,36
"1902","SLA",619,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320167,79,61
