"GameDate","Attendance","GameCode","GameDay","VisitTeam","VisitLeague","HomeTeam","HomeLeague","HomeGameNum","VisitScore","HomeScore","DayNight","GameMinutes","GameYear","GameMonth","Winner","WinTeam"
1961-04-21,24606,0,"Fri","WS2","AL","MIN","AL",7,5,3,"D",143,"1961","04","VISIT","WS2"
1961-04-22,17445,0,"Sat","WS2","AL","MIN","AL",8,4,5,"D",197,"1961","04","HOME","MIN"
1961-04-23,13408,0,"Sun","WS2","AL","MIN","AL",9,0,1,"D",134,"1961","04","HOME","MIN"
1961-04-30,29467,0,"Sun","CHA","AL","MIN","AL",15,5,3,"D",181,"1961","04","VISIT","CHA"
1961-05-01,5777,0,"Mon","CHA","AL","MIN","AL",16,5,6,"D",178,"1961","05","HOME","MIN"
1961-05-02,16669,0,"Tue","NYA","AL","MIN","AL",17,6,4,"D",180,"1961","05","VISIT","NYA"
1961-05-03,18158,0,"Wed","NYA","AL","MIN","AL",18,7,3,"D",152,"1961","05","VISIT","NYA"
1961-05-04,18179,0,"Thu","NYA","AL","MIN","AL",19,5,2,"D",143,"1961","05","VISIT","NYA"
1961-05-05,3937,0,"Fri","BOS","AL","MIN","AL",20,1,5,"D",130,"1961","05","HOME","MIN"
1961-05-07,23389,0,"Sun","BOS","AL","MIN","AL",21,11,9,"D",176,"1961","05","VISIT","BOS"
1961-05-09,4514,0,"Tue","BAL","AL","MIN","AL",22,13,5,"D",190,"1961","05","VISIT","BAL"
1961-05-10,5410,0,"Wed","BAL","AL","MIN","AL",23,6,10,"D",155,"1961","05","HOME","MIN"
1961-05-11,7471,0,"Thu","BAL","AL","MIN","AL",24,8,7,"D",190,"1961","05","VISIT","BAL"
1961-05-12,4739,0,"Fri","LAA","AL","MIN","AL",25,4,5,"D",179,"1961","05","HOME","MIN"
1961-05-13,10103,0,"Sat","LAA","AL","MIN","AL",26,6,13,"D",175,"1961","05","HOME","MIN"
1961-05-14,7825,0,"Sun","LAA","AL","MIN","AL",27,3,4,"D",163,"1961","05","HOME","MIN"
1961-05-18,8878,0,"Thu","KC1","AL","MIN","AL",30,4,3,"N",144,"1961","05","VISIT","KC1"
1961-05-19,11768,0,"Fri","KC1","AL","MIN","AL",31,1,11,"N",157,"1961","05","HOME","MIN"
1961-05-20,12306,0,"Sat","KC1","AL","MIN","AL",32,0,2,"D",126,"1961","05","HOME","MIN"
1961-05-21,0,1,"Sun","CLE","AL","MIN","AL",33,9,0,"D",163,"1961","05","VISIT","CLE"
1961-05-21,30999,2,"Sun","CLE","AL","MIN","AL",34,2,0,"D",146,"1961","05","VISIT","CLE"
1961-05-22,5425,0,"Mon","CLE","AL","MIN","AL",35,7,5,"D",248,"1961","05","VISIT","CLE"
1961-05-23,24449,0,"Tue","DET","AL","MIN","AL",36,5,2,"N",166,"1961","05","VISIT","DET"
1961-05-24,24358,0,"Wed","DET","AL","MIN","AL",37,5,4,"N",180,"1961","05","VISIT","DET"
1961-05-25,8549,0,"Thu","DET","AL","MIN","AL",38,6,7,"D",198,"1961","05","HOME","MIN"
1961-06-13,11375,0,"Tue","KC1","AL","MIN","AL",57,6,8,"N",180,"1961","06","HOME","MIN"
1961-06-14,12697,0,"Wed","KC1","AL","MIN","AL",58,9,2,"N",192,"1961","06","VISIT","KC1"
1961-06-15,12476,0,"Thu","KC1","AL","MIN","AL",59,3,4,"N",154,"1961","06","HOME","MIN"
1961-06-20,17851,0,"Tue","BAL","AL","MIN","AL",64,4,5,"N",142,"1961","06","HOME","MIN"
1961-06-21,15711,0,"Wed","BAL","AL","MIN","AL",65,11,5,"N",156,"1961","06","VISIT","BAL"
1961-06-22,10397,0,"Thu","BAL","AL","MIN","AL",66,8,2,"D",155,"1961","06","VISIT","BAL"
1961-06-23,30940,0,"Fri","NYA","AL","MIN","AL",67,0,4,"N",150,"1961","06","HOME","MIN"
1961-06-24,35199,0,"Sat","NYA","AL","MIN","AL",68,10,7,"D",182,"1961","06","VISIT","NYA"
1961-06-25,35152,0,"Sun","NYA","AL","MIN","AL",69,8,4,"D",148,"1961","06","VISIT","NYA"
1961-06-27,0,1,"Tue","BOS","AL","MIN","AL",70,5,6,"D",181,"1961","06","HOME","MIN"
1961-06-27,19385,2,"Tue","BOS","AL","MIN","AL",71,3,6,"N",149,"1961","06","HOME","MIN"
1961-06-28,15318,0,"Wed","BOS","AL","MIN","AL",72,6,2,"N",137,"1961","06","VISIT","BOS"
1961-06-29,6222,0,"Thu","BOS","AL","MIN","AL",73,9,5,"D",160,"1961","06","VISIT","BOS"
1961-07-03,30392,0,"Mon","CHA","AL","MIN","AL",77,6,7,"N",167,"1961","07","HOME","MIN"
1961-07-04,0,1,"Tue","CHA","AL","MIN","AL",78,4,6,"D",145,"1961","07","HOME","MIN"
1961-07-04,23592,2,"Tue","CHA","AL","MIN","AL",79,2,4,"D",155,"1961","07","HOME","MIN"
1961-07-05,16169,0,"Wed","LAA","AL","MIN","AL",80,6,2,"N",196,"1961","07","VISIT","LAA"
1961-07-06,8899,0,"Thu","LAA","AL","MIN","AL",81,12,11,"D",227,"1961","07","VISIT","LAA"
1961-07-21,17100,0,"Fri","CLE","AL","MIN","AL",93,3,4,"D",155,"1961","07","HOME","MIN"
1961-07-22,25382,0,"Sat","CLE","AL","MIN","AL",94,4,0,"D",134,"1961","07","VISIT","CLE"
1961-07-23,26476,0,"Sun","CLE","AL","MIN","AL",95,0,10,"D",150,"1961","07","HOME","MIN"
1961-07-25,20600,0,"Tue","WS2","AL","MIN","AL",96,2,1,"N",145,"1961","07","VISIT","WS2"
1961-07-26,18658,0,"Wed","WS2","AL","MIN","AL",97,9,10,"N",187,"1961","07","HOME","MIN"
1961-07-27,17491,0,"Thu","WS2","AL","MIN","AL",98,2,5,"N",147,"1961","07","HOME","MIN"
1961-08-11,34117,0,"Fri","DET","AL","MIN","AL",114,1,2,"N",135,"1961","08","HOME","MIN"
1961-08-12,28871,0,"Sat","DET","AL","MIN","AL",115,17,3,"D",173,"1961","08","VISIT","DET"
1961-08-13,29383,0,"Sun","DET","AL","MIN","AL",116,5,13,"D",190,"1961","08","HOME","MIN"
1961-08-14,13305,0,"Mon","KC1","AL","MIN","AL",117,2,6,"N",118,"1961","08","HOME","MIN"
1961-08-15,17614,0,"Tue","KC1","AL","MIN","AL",118,4,9,"N",139,"1961","08","HOME","MIN"
1961-08-16,18894,0,"Wed","KC1","AL","MIN","AL",119,12,7,"N",170,"1961","08","VISIT","KC1"
1961-08-25,24974,0,"Fri","BAL","AL","MIN","AL",126,5,2,"N",167,"1961","08","VISIT","BAL"
1961-08-26,19397,0,"Sat","BAL","AL","MIN","AL",127,7,4,"D",147,"1961","08","VISIT","BAL"
1961-08-27,19406,0,"Sun","BAL","AL","MIN","AL",128,3,0,"D",112,"1961","08","VISIT","BAL"
1961-08-29,40118,0,"Tue","NYA","AL","MIN","AL",129,0,3,"N",137,"1961","08","HOME","MIN"
1961-08-30,41357,0,"Wed","NYA","AL","MIN","AL",130,4,0,"N",138,"1961","08","VISIT","NYA"
1961-08-31,33709,0,"Thu","NYA","AL","MIN","AL",131,4,5,"D",177,"1961","08","HOME","MIN"
1961-09-01,11917,0,"Fri","BOS","AL","MIN","AL",132,1,5,"N",138,"1961","09","HOME","MIN"
1961-09-02,11473,0,"Sat","BOS","AL","MIN","AL",133,2,1,"D",145,"1961","09","VISIT","BOS"
1961-09-03,17396,0,"Sun","BOS","AL","MIN","AL",134,8,6,"D",184,"1961","09","VISIT","BOS"
1961-09-04,20036,1,"Mon","CHA","AL","MIN","AL",135,5,9,"D",168,"1961","09","HOME","MIN"
1961-09-04,12540,2,"Mon","CHA","AL","MIN","AL",136,9,5,"N",174,"1961","09","VISIT","CHA"
1961-09-05,11099,0,"Tue","CHA","AL","MIN","AL",137,3,3,"N",164,"1961","09","VISIT","CHA"
1961-09-06,0,1,"Wed","CHA","AL","MIN","AL",138,6,3,"D",159,"1961","09","VISIT","CHA"
1961-09-06,17898,2,"Wed","CHA","AL","MIN","AL",139,4,2,"N",192,"1961","09","VISIT","CHA"
1961-09-11,6215,0,"Mon","LAA","AL","MIN","AL",144,2,5,"N",141,"1961","09","HOME","MIN"
1961-09-14,0,1,"Thu","LAA","AL","MIN","AL",145,5,1,"D",121,"1961","09","VISIT","LAA"
1961-09-14,1605,2,"Thu","LAA","AL","MIN","AL",146,1,3,"D",143,"1961","09","HOME","MIN"
1961-09-23,0,1,"Sat","WS2","AL","MIN","AL",153,6,4,"D",169,"1961","09","VISIT","WS2"
1961-09-23,11121,2,"Sat","WS2","AL","MIN","AL",154,0,10,"D",148,"1961","09","HOME","MIN"
1961-09-24,10975,0,"Sun","WS2","AL","MIN","AL",155,4,1,"D",140,"1961","09","VISIT","WS2"
1961-09-26,4134,0,"Tue","CLE","AL","MIN","AL",156,7,3,"D",149,"1961","09","VISIT","CLE"
1961-09-27,2992,0,"Wed","CLE","AL","MIN","AL",157,4,10,"D",133,"1961","09","HOME","MIN"
1961-09-28,3323,0,"Thu","CLE","AL","MIN","AL",158,12,5,"D",160,"1961","09","VISIT","CLE"
1961-09-29,3151,0,"Fri","DET","AL","MIN","AL",159,6,4,"D",166,"1961","09","VISIT","DET"
1961-09-30,8668,0,"Sat","DET","AL","MIN","AL",160,6,4,"D",106,"1961","09","VISIT","DET"
1961-10-01,15723,0,"Sun","DET","AL","MIN","AL",161,8,3,"D",117,"1961","10","VISIT","DET"
1962-04-14,8363,0,"Sat","LAA","AL","MIN","AL",4,12,5,"D",206,"1962","04","VISIT","LAA"
1962-04-15,7205,0,"Sun","LAA","AL","MIN","AL",5,6,3,"D",180,"1962","04","VISIT","LAA"
1962-04-17,7036,0,"Tue","CHA","AL","MIN","AL",6,8,0,"D",150,"1962","04","VISIT","CHA"
1962-04-18,5928,0,"Wed","CHA","AL","MIN","AL",7,3,2,"D",165,"1962","04","VISIT","CHA"
1962-04-19,6263,0,"Thu","CHA","AL","MIN","AL",8,10,3,"D",132,"1962","04","VISIT","CHA"
1962-05-01,5934,0,"Tue","BAL","AL","MIN","AL",19,3,8,"D",156,"1962","05","HOME","MIN"
1962-05-02,5926,0,"Wed","BAL","AL","MIN","AL",20,6,5,"D",164,"1962","05","VISIT","BAL"
1962-05-03,5569,0,"Thu","BAL","AL","MIN","AL",21,4,8,"D",156,"1962","05","HOME","MIN"
1962-05-04,7543,0,"Fri","DET","AL","MIN","AL",22,2,4,"D",157,"1962","05","HOME","MIN"
1962-05-05,18023,0,"Sat","DET","AL","MIN","AL",23,2,7,"D",160,"1962","05","HOME","MIN"
1962-05-06,25650,0,"Sun","DET","AL","MIN","AL",24,7,10,"D",166,"1962","05","HOME","MIN"
1962-05-08,13891,0,"Tue","CLE","AL","MIN","AL",25,6,3,"N",183,"1962","05","VISIT","CLE"
